Codigo de Lista,Código Producto Bimbo,Nombre del Producto,Marca,Categoria del producto,Precio Sin IVA,% IVA,Precio con IVA
LPG,964647,Pan Blanco Bim CM 1p 400g BOLSA BIM,BIMBO,Panificados Bimbo,"2,322",21,"2,809.51"
LPG,964642,Pan Blanco CM 1p 610g BOLSA BIM,BIMBO,Panificados Bimbo,"3,163",21,"3,826.71"
LPG,27028,Pan Hamb Bimb C Ses CM 1p 210g BOLSA BIM,BIMBO,Panificados Bimbo,"1,553",21,"1,879.72"
LPG,27233,Pan Pancho Bimbo CM 1p 210g BOLSA BIM,BIMBO,Panificados Bimbo,"1,553",21,"1,879.72"
LPG,964511,Rapiditas XXL 1p 620g BOLSA BIM,BIMBO,Tortillas,"3,362",21,"4,067.52"
LPG,21478,Rapiditas Clasic 1p 275g BOLSA BIM,BIMBO,Tortillas,"1,581",21,"1,913.08"
LPG,23418,Rapiditas Integr Nvo 1p 275g BOLSA BIM,BIMBO,Tortillas,"1,640",21,"1,983.93"
LPG,21483,Rapiditas Light Nvo 1p 275g BOLSA BIM,BIMBO,Tortillas,"1,640",21,"1,983.93"
LPG,506405,Rapiditas Cero Cero 10p 275g BOLSA BIM,BIMBO,Tortillas,"1,640",21,"1,983.93"
LPG,964639,Pan Blanco Cero Cero 1p 410g BOLSA BIM,BIMBO,Panificados Bimbo,"2,324",21,"2,811.57"
LPG,964646,Pan Integral Cero Cero 1p 430g BOLSA BIM,BIMBO,Panificados Bimbo,"2,587",21,"3,129.71"
LPG,964638,Pan Integral CM 1p 420g BOLSA BIM,BIMBO,Panificados Bimbo,"2,566",21,"3,105.24"
LPG,964645,Pan con Lino CM 1p 420g BOLSA BIM,BIMBO,Panificados Bimbo,"2,566",21,"3,105.24"
LPG,964641,Pan Integral 1p 640g BOLSA BIM,BIMBO,Panificados Bimbo,"3,511",21,"4,247.81"
LPG,7606,Pan con Semillas 1p 600g BOLSA ORO,OROWEAT,Panificados Oroweat,"3,868",21,"4,679.98"
LPG,7609,Pan con Cereales 1p 600g BOLSA ORO,OROWEAT,Panificados Oroweat,"3,868",21,"4,679.98"
LPG,46327,Pan Hamb Artesano CM 1p 240g BOLSA BIM,ARTESANO,Panificados Artesano,"1,893",21,"2,290.99"
LPG,47723,Pan Pancho Artesano CM 1p 240g BOLSA BIM,ARTESANO,Panificados Artesano,"1,893",21,"2,290.99"
LPG,28585,Pan Hamb Papa Art CM 4P 240G BOLSA BIM,ARTESANO,Panificados Artesano,"2,218",21,"2,683.94"
LPG,32571,Pan Hamb Brioche Art C 1p 240g BOLSA BIM,ARTESANO,Panificados Artesano,"2,218",21,"2,683.94"
LPG,503969,P BcoArt Masa Madre CM 1p 500g BOLSA BIM	,ARTESANO,Panificados Artesano,"3,413",21,"4,129.48"
LPG,503994,P Int Art MasaMadre CM 1p 500g BOLSA BIM,ARTESANO,Panificados Artesano,"3,675",21,"4,447.19"
LPG,964786,Braunichoc SabeBien! 1 pieza 35,SABE BIEN,Consumo,548,21,663.48
LPG,964787,Brownie Mini SabeBien!  1p 35g,SABE BIEN,Consumo,548,21,663.48
LPG,964798,Brownie Chips SabeBien! 1p 62g,SABE BIEN,Consumo,796,21,963.03
LPG,2004,Madalenas Vainilla 12p 200g BIM,BIMBO,Dulces Madalenas,"1,225",21,"1,482.10"
LPG,2005,Madalenas Marmoladas 12p 200g BIM,BIMBO,Dulces Madalenas,"1,225",21,"1,482.10"
LPG,2006,Madalenas Rellenas DDL 14p 190g BIM,BIMBO,Dulces Madalenas,"1,225",21,"1,482.10"
LPG,2086,Madalenas Choc Rell DDL 14p 190g BIM,BIMBO,Dulces Madalenas,"1,225",21,"1,482.10"
LPG,506418,Madalena Choco DDL 1p 32g FLOW BIM,BIMBO,Dulces Madalenas,352,21,426.37
LPG,506419,Madalena Vain DDL 1p 32g FLOW BIM,BIMBO,Dulces Madalenas,352,21,426.37
LPG,2636,Vainillas 1p CS 444g FLOW BIM,BIMBO,Dulces Vainillas,"2,450",21,"2,964.67"
LPG,21148,Vainillas 1p CS 148g FLOW BIM,BIMBO,Dulces Vainillas,919,21,"1,112.05"
LPG,504154,Budin Relleno DDL 1p 220g FLOW BIM,BIMBO,Dulces Budines,"1,225",21,"1,482.76"
LPG,504162,Budin Vainilla 1p 170g FLOW BIM,BIMBO,Dulces Budines,"1,225",21,"1,482.76"
LPG,504163,Budin Marmolado 1p 170g FLOW BIM,BIMBO,Dulces Budines,"1,225",21,"1,482.76"
LPG,515273,Takis Original 1p 140g FLOW BAR EXP,TAKIS,Snack,"1,940",21,"2,346.92"
LPG,515277,Takis Xplosion 1p 49g FLOW BAR EXP,TAKIS,Snack,814,21,984.70
LPG,515275,Takis Xplosion 1p 85g FLOW BAR EXP,TAKIS,Snack,"1,223",21,"1,480.19"
LPG,515272,Takis Xplosion 1p 140g FLOW BAR EXP,TAKIS,Snack,"1,940",21,"2,346.92"
LPG,515282,Takis Fuego 1p 49g FLOW BAR EXP,TAKIS,Snack,814,21,984.70
LPG,515274,Takis Fuego 1p 85g FLOW BAR EXP,TAKIS,Snack,"1,223",21,"1,480.19"
LPG,515271,Takis Fuego 1p 140g FLOW BAR EXP,TAKIS,Snack,"1,940",21,"2,346.92"
LPG,24203,Pan Hamburguesa 1p 53g BOLSA FAR,FARGO,Consumo,267,21,323.55
LPG,24218,Pan Hamb Chica Sesamo 2p 3180g BOLSA FAR,FARGO,Consumo,"17,928",21,"21,693.36"
LPG,24222,Pan Hamb c/Maiz MTZ 2p 3600g BOLSA NP,FARGO,Consumo,"20,567",21,"24,886.55"
LPG,24237,Pan Hamb Brioche 5in 2p 3480g BOLSA FAR,FARGO,Consumo,"22,373",21,"27,071.81"
LPG,24238,Pan Hamb Brioche 4in 2p 3840g BOLSA FAR,FARGO,Consumo,"28,060",21,"33,952.84"
LPG,24426,Hamburguesa Sesamo 1p 90g BOLSA FAR,FARGO,Consumo,466,21,564.10
LPG,24425,Pancho Especial Sesamo 1p 80g BOLSA FAR,FARGO,Consumo,386,21,467.54
LPG,504475,Pan Pancho PLG CM 1p 210g BOLSA FAR ,FARGO,Consumo,"1,498",21,"1,812.58"
LPG,504476,Pan PanchoMax PLG CM 1p 390g BOLSA FAR  ,FARGO,Consumo,"2,402",21,"2,906.90"
LPG,504477,Pan Hamb CS PLG CM 1p 210g BOLSA FAR ,FARGO,Consumo,"1,373",21,"1,661.81"
